Wavelength (nm),Absorbance (AU),Std.Dev.
190,-0.155227184,1.618639897
191,0.009029388,0.880943819
192,0.103649139,1.023318218
193,0.257992268,1.148570358
194,-0.279439926,1.162042081
195,0.329706192,0.80722446
196,-0.069293499,0.599237084
197,0.16175127,0.629766977
198,0.82212019,0.720509904
199,0.244826794,0.515254957
200,0.253384113,0.688907916
201,-0.024630547,1.336622631
202,-0.026165009,1.453712919
203,0.157581806,0.801438374
204,0.928823948,1.1875
205,0.70271349,1.548097686
206,-0.223442554,0.730186694
207,0.147598743,0.332524909
208,0.156016827,0.630590234
209,0.065029144,0.729810449
210,0.654562473,0.712566814
211,0.604340076,1.020451273
212,0.034386158,0.723510897
213,-0.536062241,0.855602515
214,0.337257385,0.968797252
215,0.600777149,0.629257957
216,0.636685848,0.91215747
217,0.334524632,0.799494011
218,-0.068395615,1.388560617
219,0.325229168,0.893362022
220,0.717804909,1.111408787
221,1.13064909,1.519365552
222,-0.100165367,0.86144991
223,0.304589748,0.936751003
224,0.221370697,0.731502027
225,-0.021382332,1.15164836
226,0.123893261,0.631484911
227,0.19756937,0.801933242
228,-0.015698433,1.232915474
229,0.558046818,0.979869401
230,0.708999634,0.514691983
231,0.30922699,0.606815538
232,0,0.322957354
233,0.576124191,0.46608127
234,0.531709194,0.426729878
235,0.074832916,0.529999102
236,-0.281416416,0.459752515
237,0.89882946,0.567536588
238,-0.343706131,0.633980885
239,0.148831367,0.446185411
240,-0.754570484,0.541054404
241,-0.168874264,0.809960726
242,1.129083157,0.909158184
243,0.054372787,1.70974202
244,-0.235330582,1.045416428
245,0.483768463,0.526315549
246,0.207227707,0.850827521
247,0.324145794,1.754423817
248,-0.232121944,1.3016666
249,-0.044259548,1.148171738
250,0.892373562,1.380006864
251,0.452630043,0.690290855
252,0.064877987,0.582686292
253,-0.001111507,1.233756768
254,0.583555698,1.120678549
255,-0.294211864,1.224919281
256,-0.262639999,0.584098677
257,0.363428116,0.394511912
258,0.526965141,0.631533236
259,0.605926037,0.507045695
260,0.645198345,0.80044772
261,0.293009281,1.027544241
262,0.795506477,0.819772888
263,0.406160355,0.8125
264,0.107387543,0.585325201
265,0.925008297,0.929982884
266,-0.278944969,0.699415126
267,0.586722374,0.681828077
268,0.844174385,0.53976969
269,0.677872658,0.37938919
270,0.067648888,0.249346834
271,0.111807823,0.541716744
272,1.00275135,0.96846644
273,0.919599533,0.692420689
274,0.084104538,1.189836312
275,1.013460159,0.97112549
276,0.849110126,0.469904178
277,0.821519852,0.675171329
278,0.291789055,0.905036904
279,-0.226748466,0.696879817
280,0.503091335,0.427533664
281,0.367358685,0.492621337
282,0.385997295,0.788114375
283,1.035079479,1.15389858
284,0.93021059,0.567496257
285,0.457133293,0.274481823
286,0.326069355,0.487319365
287,1.064819336,0.9140625
288,0.76200676,0.439960644
289,0.56205225,0.218165024
290,1.040121555,0.214990184
291,0.793356419,0.215313761
292,1.056672096,0.299892152
293,1.093530655,0.253740932
294,0.923465729,0.243745774
295,1.184147835,0.318820362
296,1.958699703,0.440238014
297,1.468944073,0.32846778
298,1.87452507,0.574032708
299,2.006465435,1.001311396
300,2.411241055,0.551459578
301,1.766742706,0.656807799
302,2.72893095,0.52131976
303,2.64734602,0.398150172
304,2.234554291,0.485743405
305,2.936591625,0.382114319
306,2.583334446,0.417347669
307,2.69484663,0.46484375
308,2.655518532,0.910181397
309,3.147039413,0.437909616
310,2.445472717,0.170619192
311,3.099277973,0.216669268
312,3.398355961,0.411131653
313,3.410348415,0.559317167
314,3.459024906,0.410555981
315,3.56997776,0.620491552
316,3.441213131,0.44273514
317,3.387247086,0.344935367
318,3.435443401,0.293826868
319,3.284254551,0.156646226
320,3.334809303,0.299083326
321,3.925107479,0.508473128
322,3.449840546,0.303319747
323,3.663029671,0.283479122
324,3.73150301,0.418105629
325,3.999999523,0.419508336
326,3.621694088,0.324018669
327,3.999999523,0.811880022
328,3.998027325,0.57388649
329,3.98866272,0.52832663
330,3.886338711,0.774088268
331,3.966281414,0.468855782
332,3.736918926,0.580350972
333,3.999999523,0.782752462
334,3.873306274,0.410184151
335,3.484998703,0.390058183
336,3.784935474,0.673961151
337,3.999999523,0.498953678
338,3.916576385,0.461772615
339,3.966831207,0.356903868
340,3.822860718,0.359067039
341,3.872934341,0.637042192
342,3.999999523,0.327636355
